"Nazv","Opisanie","Cena","Rating","Otzyv"
"Планшет Lenovo Tab M10 Plus TB-X606F 128Gb (2020), gray","диагональ: 10.3"" (1920x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T",16990,4.7,54
"Планшет Lenovo Tab M10 Plus TB-X606F 32Gb (2020), Iron Grey","диагональ: 10.3"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio P22T",13990,4.7,24
"Планшет Lenovo Yoga Smart Tab YT-X705F 64Gb (2019), серый","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 439",19990,4.8,24
"Планшет Lenovo Tab M10 Plus TB-X606X 64Gb (2020), gray","диагональ: 10.3"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T",18890,4.7,32
"Планшет Lenovo Tab M10 Plus TB-X606F 64Gb (2020), Platinum Grey","диагональ: 10.3"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T",14990,4.4,36
"Планшет Samsung Galaxy Tab A7 10.4 SM-T500 32GB Wi-Fi (2020), темно-серый","диагональ: 10.4"" (2000x1200) TFTвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 662",16390,4.8,42
"Планшет Lenovo Tab M10 Plus TB-X606X 128Gb (2020), gray","диагональ: 10.3"" (1920x1200) IPSвстроенная память: 128 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: MediaTek Helio P22T",17990,4.5,24
"Планшет Apple iPad (2020) 32Gb Wi-Fi, gold","диагональ: 10.2"" (2160x1620) IPSвстроенная память: 32 ГБоперативная память: 3 ГБпроцессор: Apple A12 Bionic",26888,4.8,84
"Планшет Lenovo Tab M10 Plus TB-X606X 32Gb (2020), silver","диагональ: 10.3"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 2 ГБпроцессор: MediaTek Helio P22T",14990,4.6,12
"Планшет Lenovo Yoga Smart Tab YT-X705X 64Gb (2019), серый","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 64 ГБ, слот microSDXCоперативная память: 4 ГБпроцессор: Qualcomm Snapdragon 439",22990,4.5,19
"Планшет Lenovo Yoga Smart Tab YT-X705F 32Gb (2019), серый","диагональ: 10.1"" (1920x1200) IPSвстроенная память: 32 ГБ, слот microSDXCоперативная память: 3 ГБпроцессор: Qualcomm Snapdragon 439",18990,4.6,16
